assay_chembl_id	assay_description	assay_type	confidence_score	confidence_desc	src_id	bao_format	target_chembl_id	target_name	target_type	organism	tax_id
CHEMBL869626	Inhibitory activity against human hERG receptor expressed in HEK cells	B	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL861216	Binding affinity to hERG by radioligand binding assay	B	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL868467	Binding affinity to hERG	B	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL870781	Displacement of [3H]dofetilide from hERG expressed in HEK293 cells	B	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL865039	Binding affinity to hERG stably transfected in HEK293 cells	B	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL853270	Inhibition of hERG potassium channel in HEK293 cells by patch clamp assay	T	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL853272	Inhibition of hERG potassium channel in HEK293 cells by patch clamp assay at 1 uM	T	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL862268	Binding affinity to potassium channel by radioligand binding assay	B	8	Homologous single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL871230	Displacement of labeled MK-499 from cloned hERG channel expressed in HEK cells	B	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL870149	Inhibition of hERG expressed in HEK cells by radioligand binding assay	T	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL861449	Binding affinity to human IKr	B	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL868204	Inhibition of hERG	T	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL870188	Inhibition of IKr	B	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL866681	Displacement of [3H]dofetilide from hERG	B	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL867451	Inhibition of human ERG expressed in HEK293 cells	B	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL865554	Displacement of [3H]dofetilide from human ERG channel	B	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL864914	Affinity for human ERG channel by patch clamp assay	F	9	Direct single protein target assigned	1	BAO_0000019	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL870286	Inhibition of hERG expressed in HEK293 cells at 2 uM by patch clamp assay	T	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL870287	Inhibition of hERG expressed in HEK293 cells at 20 uM by patch clamp assay	T	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL870536	Inhibition of hERG	T	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL854534	Binding affinity to hERG in HEK293 cells by radioligand binding assay	B	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL854582	Inhibition of hERG potassium channel expressed in CHO cells by whole cell patch clamp method	T	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL864238	Binding affinity to hERG	B	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL864852	Inhibition of hERG potassium channel expressed in CHO cells by whole cell patch clamp method	T	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL867936	Inhibition of hERG channel current in HEK293 cells at 3 uM	T	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL867939	Inhibition of hERG channel current in HEK293 cells at 1 uM	T	9	Direct single protein target assigned	1	BAO_0000219	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL867368	Binding affinity to iKr potassium channel	B	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL864202	Inhibition of hERG at 1 uM	T	9	Direct single protein target assigned	1	BAO_0000357	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
CHEMBL864204	Inhibition of hERG at 10 uM	T	9	Direct single protein target assigned	1	BAO_0000019	CHEMBL240	Voltage-gated inwardly rectifying potassium channel KCNH2	SINGLE PROTEIN	Homo sapiens	9606
