assay_chembl_id	#Compounds
CHEMBL4414124	15
CHEMBL860568	15
CHEMBL861449	15
CHEMBL824627	15
CHEMBL768695	15
CHEMBL5731487	15
CHEMBL5638899	15
CHEMBL666481	14
CHEMBL3243551	14
CHEMBL2184359	14
CHEMBL2072491	14
CHEMBL2072927	14
CHEMBL2188959	14
CHEMBL3096555	14
CHEMBL3102091	14
CHEMBL2439735	14
CHEMBL2439737	14
CHEMBL4233115	14
CHEMBL4233116	14
CHEMBL4233117	14
CHEMBL3992697	14
CHEMBL3998583	14
CHEMBL3998584	14
CHEMBL3888195	14
CHEMBL3772524	14
CHEMBL4021025	14
CHEMBL4027502	14
CHEMBL4036852	14
CHEMBL3610078	14
CHEMBL1803706	14
CHEMBL1647137	14
CHEMBL1936096	14
CHEMBL1225700	14
CHEMBL1175154	14
CHEMBL1073649	14
CHEMBL871230	14
CHEMBL940929	14
CHEMBL830651	14
CHEMBL5133258	14
CHEMBL5156196	14
CHEMBL5142864	14
CHEMBL5387422	14
CHEMBL4809369	14
CHEMBL4366089	14
CHEMBL4681389	14
CHEMBL4677231	14
CHEMBL4611392	14
CHEMBL5038533	14
CHEMBL5039908	14
CHEMBL5041728	14
CHEMBL4880791	14
CHEMBL4880792	14
CHEMBL4410497	14
CHEMBL4427809	14
CHEMBL4717446	14
CHEMBL4704384	14
CHEMBL4707280	14
CHEMBL4728777	14
CHEMBL4321995	14
CHEMBL4329577	13
CHEMBL4340978	13
CHEMBL4373005	13
CHEMBL4834663	13
CHEMBL4481698	13
CHEMBL4427468	13
CHEMBL4429529	13
CHEMBL4178742	13
CHEMBL4135532	13
CHEMBL4055940	13
CHEMBL4015498	13
CHEMBL4042710	13
CHEMBL3880277	13
CHEMBL3997333	13
CHEMBL3767768	13
CHEMBL3767769	13
CHEMBL3811492	13
CHEMBL5737567	13
CHEMBL5731003	13
CHEMBL700074	13
CHEMBL2187784	13
CHEMBL2187785	13
CHEMBL2187786	13
CHEMBL2210522	13
CHEMBL3389028	13
CHEMBL3419125	13
CHEMBL3424852	13
CHEMBL5317214	13
CHEMBL5121792	13
CHEMBL5516903	13
CHEMBL5516905	13
CHEMBL5136536	13
CHEMBL1068016	13
CHEMBL1042532	13
CHEMBL1670716	13
CHEMBL1763073	13
CHEMBL1767985	13
CHEMBL1787512	13
CHEMBL1803471	13
CHEMBL1107892	13
CHEMBL1121075	13
CHEMBL2060804	13
CHEMBL1947877	13
CHEMBL1931723	13
CHEMBL1931724	13
CHEMBL1932121	13
CHEMBL1938198	13
CHEMBL1039122	13
CHEMBL1023476	13
CHEMBL1007470	13
CHEMBL875187	13
CHEMBL927950	13
CHEMBL913858	13
CHEMBL988836	13
CHEMBL941016	13
CHEMBL944859	12
CHEMBL908975	12
CHEMBL928561	12
CHEMBL854894	12
CHEMBL820995	12
CHEMBL820996	12
CHEMBL887480	12
CHEMBL868863	12
CHEMBL858932	12
CHEMBL865929	12
CHEMBL664887	12
CHEMBL5737885	12
CHEMBL4430051	12
CHEMBL4818897	12
CHEMBL4769893	12
CHEMBL4349819	12
CHEMBL4351263	12
CHEMBL4685406	12
CHEMBL4616477	12
CHEMBL4837020	12
CHEMBL4706939	12
CHEMBL3767767	12
CHEMBL3813501	12
CHEMBL4272647	12
CHEMBL4269600	12
CHEMBL4122429	12
CHEMBL1011901	12
CHEMBL1671071	12
CHEMBL1657598	12
CHEMBL1648607	12
CHEMBL1953525	12
CHEMBL1961077	12
CHEMBL2013641	12
CHEMBL1938199	12
CHEMBL1217370	12
CHEMBL1120468	12
