assay_chembl_id	cell_name	cell_description	cell_source_organism	cell_source_tissue
CHEMBL2160806	NULL	NULL	NULL	NULL
CHEMBL2160808	NULL	NULL	NULL	NULL
CHEMBL2161976	NULL	NULL	NULL	NULL
CHEMBL2162302	NULL	NULL	NULL	NULL
CHEMBL2162322	NULL	NULL	NULL	NULL
CHEMBL2162323	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2162878	NULL	NULL	NULL	NULL
CHEMBL2162879	NULL	NULL	NULL	NULL
CHEMBL2160723	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2160726	NULL	NULL	NULL	NULL
CHEMBL2161153	NULL	NULL	NULL	NULL
CHEMBL2163105	NULL	NULL	NULL	NULL
CHEMBL2162428	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2160405	NULL	NULL	NULL	NULL
CHEMBL2160410	NULL	NULL	NULL	NULL
CHEMBL2160411	NULL	NULL	NULL	NULL
CHEMBL2160981	NULL	NULL	NULL	NULL
CHEMBL2168044	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2168045	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2166760	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2166761	NULL	NULL	NULL	NULL
CHEMBL2167210	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2167443	NULL	NULL	NULL	NULL
CHEMBL2167881	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2168561	NULL	NULL	NULL	NULL
CHEMBL2168569	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2169519	NULL	NULL	NULL	NULL
CHEMBL2169528	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2169529	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2166000	NULL	NULL	NULL	NULL
CHEMBL2167265	NULL	NULL	NULL	NULL
CHEMBL2168600	NULL	NULL	NULL	NULL
CHEMBL2168855	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2167605	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2167606	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2167607	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2167608	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2167609	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2168470	NULL	NULL	NULL	NULL
CHEMBL2168489	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2168490	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2168496	NULL	NULL	NULL	NULL
CHEMBL2168498	NULL	NULL	NULL	NULL
CHEMBL2169230	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2173019	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2173630	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2173968	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2173974	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2173975	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2172900	NULL	NULL	NULL	NULL
CHEMBL2173338	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2173536	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2173537	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2174912	NULL	NULL	NULL	NULL
CHEMBL2176196	NULL	NULL	NULL	NULL
CHEMBL2176358	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2176456	NULL	NULL	NULL	NULL
CHEMBL2176468	NULL	NULL	NULL	NULL
CHEMBL2176623	NULL	NULL	NULL	NULL
CHEMBL2187817	NULL	NULL	NULL	NULL
CHEMBL2188237	NULL	NULL	NULL	NULL
CHEMBL2184225	NULL	NULL	NULL	NULL
CHEMBL2184669	NULL	NULL	NULL	NULL
CHEMBL2186062	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2188723	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2184696	NULL	NULL	NULL	NULL
CHEMBL2187883	NULL	NULL	NULL	NULL
CHEMBL2184747	NULL	NULL	NULL	NULL
CHEMBL2187047	NULL	NULL	NULL	NULL
CHEMBL2188816	NULL	NULL	NULL	NULL
CHEMBL2182706	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2183479	NULL	NULL	NULL	NULL
CHEMBL2184354	NULL	NULL	NULL	NULL
CHEMBL2184356	NULL	NULL	NULL	NULL
CHEMBL2184359	NULL	NULL	NULL	NULL
CHEMBL2184863	NULL	NULL	NULL	NULL
CHEMBL2185328	NULL	NULL	NULL	NULL
CHEMBL2186736	NULL	NULL	NULL	NULL
CHEMBL2186754	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2188943	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2188959	NULL	NULL	NULL	NULL
CHEMBL2183581	NULL	NULL	NULL	NULL
CHEMBL2184930	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2187242	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2182407	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2182408	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2184032	NULL	NULL	NULL	NULL
CHEMBL2186403	NULL	NULL	NULL	NULL
CHEMBL2186404	NULL	NULL	NULL	NULL
CHEMBL2183278	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2184102	NULL	NULL	NULL	NULL
CHEMBL2187784	NULL	NULL	NULL	NULL
CHEMBL2187785	NULL	NULL	NULL	NULL
CHEMBL2187786	NULL	NULL	NULL	NULL
CHEMBL2187790	NULL	NULL	NULL	NULL
CHEMBL2187791	NULL	NULL	NULL	NULL
CHEMBL2186472	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2208508	NULL	NULL	NULL	NULL
CHEMBL2208509	NULL	NULL	NULL	NULL
CHEMBL2208511	NULL	NULL	NULL	NULL
CHEMBL2208705	NULL	NULL	NULL	NULL
CHEMBL2208784	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2208575	NULL	NULL	NULL	NULL
CHEMBL2208576	NULL	NULL	NULL	NULL
CHEMBL2210522	NULL	NULL	NULL	NULL
CHEMBL2216323	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2216324	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2211966	NULL	NULL	NULL	NULL
CHEMBL2216345	NULL	NULL	NULL	NULL
CHEMBL2211566	NULL	NULL	NULL	NULL
CHEMBL2211621	NULL	NULL	NULL	NULL
CHEMBL2215011	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2215013	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2215015	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2214094	NULL	NULL	NULL	NULL
CHEMBL2214095	NULL	NULL	NULL	NULL
CHEMBL2214096	NULL	NULL	NULL	NULL
CHEMBL2209447	NULL	NULL	NULL	NULL
CHEMBL2214148	NULL	NULL	NULL	NULL
CHEMBL2215143	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2215146	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2215193	NULL	NULL	NULL	NULL
CHEMBL2215678	NULL	NULL	NULL	NULL
CHEMBL2209547	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2210902	NULL	NULL	NULL	NULL
CHEMBL2210904	NULL	NULL	NULL	NULL
CHEMBL2212824	NULL	NULL	NULL	NULL
CHEMBL2211387	NULL	NULL	NULL	NULL
CHEMBL2215781	NULL	NULL	NULL	NULL
CHEMBL2215806	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2216271	NULL	NULL	NULL	NULL
CHEMBL2216273	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2216274	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2216275	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2216282	NULL	NULL	NULL	NULL
CHEMBL2216283	NULL	NULL	NULL	NULL
CHEMBL2216713	NULL	NULL	NULL	NULL
CHEMBL2216714	NULL	NULL	NULL	NULL
CHEMBL2217322	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217323	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217324	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217325	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217326	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217327	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217328	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217329	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217330	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217331	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217332	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217333	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217334	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217335	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217336	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217337	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217338	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217339	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217340	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217341	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2217342	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2216925	NULL	NULL	NULL	NULL
CHEMBL3047878	NULL	NULL	NULL	NULL
CHEMBL3047075	NULL	NULL	NULL	NULL
CHEMBL3061541	NULL	NULL	NULL	NULL
CHEMBL3057170	NULL	NULL	NULL	NULL
CHEMBL3056066	NULL	NULL	NULL	NULL
CHEMBL3074981	NULL	NULL	NULL	NULL
CHEMBL3074982	NULL	NULL	NULL	NULL
CHEMBL3070020	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2319401	NULL	NULL	NULL	NULL
CHEMBL2320830	NULL	NULL	NULL	NULL
CHEMBL2317752	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2318058	NULL	NULL	NULL	NULL
CHEMBL2318069	NULL	NULL	NULL	NULL
CHEMBL2318185	NULL	NULL	NULL	NULL
CHEMBL2318190	NULL	NULL	NULL	NULL
CHEMBL2318750	NULL	NULL	NULL	NULL
CHEMBL2319031	NULL	NULL	NULL	NULL
CHEMBL2320190	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2318297	NULL	NULL	NULL	NULL
CHEMBL2320518	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2320519	NULL	NULL	NULL	NULL
CHEMBL2317008	NULL	NULL	NULL	NULL
CHEMBL2327882	NULL	NULL	NULL	NULL
CHEMBL2327410	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2327052	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2327054	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2327428	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2327767	NULL	NULL	NULL	NULL
CHEMBL2328093	NULL	NULL	NULL	NULL
CHEMBL2328095	NULL	NULL	NULL	NULL
CHEMBL2328112	NULL	NULL	NULL	NULL
CHEMBL2328122	NULL	NULL	NULL	NULL
CHEMBL2329216	NULL	NULL	NULL	NULL
CHEMBL2328742	NULL	NULL	NULL	NULL
CHEMBL2327304	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2328652	NULL	NULL	NULL	NULL
CHEMBL2327575	NULL	NULL	NULL	NULL
CHEMBL2327740	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2330006	NULL	NULL	NULL	NULL
CHEMBL2330007	NULL	NULL	NULL	NULL
CHEMBL2330583	NULL	NULL	NULL	NULL
CHEMBL2330715	NULL	NULL	NULL	NULL
CHEMBL2330743	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2330779	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2330780	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2330781	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2330875	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2330395	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2330396	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2330862	NULL	NULL	NULL	NULL
CHEMBL2329729	NULL	NULL	NULL	NULL
CHEMBL2329731	NULL	NULL	NULL	NULL
CHEMBL2330319	NULL	NULL	NULL	NULL
CHEMBL2330323	NULL	NULL	NULL	NULL
CHEMBL2340286	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2341331	NULL	NULL	NULL	NULL
CHEMBL2342858	NULL	NULL	NULL	NULL
CHEMBL2345730	NULL	NULL	NULL	NULL
CHEMBL2340398	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2340399	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2345755	NULL	NULL	NULL	NULL
CHEMBL2339897	NULL	NULL	NULL	NULL
CHEMBL2339912	NULL	NULL	NULL	NULL
CHEMBL2344471	NULL	NULL	NULL	NULL
CHEMBL2343015	NULL	NULL	NULL	NULL
CHEMBL2344005	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2344006	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2344008	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2344009	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2344015	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2339143	NULL	NULL	NULL	NULL
CHEMBL2341506	NULL	NULL	NULL	NULL
CHEMBL2342062	NULL	NULL	NULL	NULL
CHEMBL2346000	NULL	NULL	NULL	NULL
CHEMBL2346009	NULL	NULL	NULL	NULL
CHEMBL2340120	NULL	NULL	NULL	NULL
CHEMBL2342699	NULL	NULL	NULL	NULL
CHEMBL2338825	NULL	NULL	NULL	NULL
CHEMBL2340694	NULL	NULL	NULL	NULL
CHEMBL2342727	NULL	NULL	NULL	NULL
CHEMBL2343703	NULL	NULL	NULL	NULL
CHEMBL2344711	NULL	NULL	NULL	NULL
CHEMBL2350555	NULL	NULL	NULL	NULL
CHEMBL2352368	NULL	NULL	NULL	NULL
CHEMBL2352672	NULL	NULL	NULL	NULL
CHEMBL2350608	NULL	NULL	NULL	NULL
CHEMBL2350655	NULL	NULL	NULL	NULL
CHEMBL2351330	NULL	NULL	NULL	NULL
CHEMBL2352554	NULL	NULL	NULL	NULL
CHEMBL2379703	NULL	NULL	NULL	NULL
CHEMBL2378543	NULL	NULL	NULL	NULL
CHEMBL2378605	NULL	NULL	NULL	NULL
CHEMBL2384079	NULL	NULL	NULL	NULL
CHEMBL2384387	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2384768	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2383266	NULL	NULL	NULL	NULL
CHEMBL2384313	NULL	NULL	NULL	NULL
CHEMBL2384851	NULL	NULL	NULL	NULL
CHEMBL2382843	NULL	NULL	NULL	NULL
CHEMBL2382844	L929	L929 (Fibroblast cells)	Mus musculus	Fibroblast cells
CHEMBL2382845	L929	L929 (Fibroblast cells)	Mus musculus	Fibroblast cells
CHEMBL2382846	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2382847	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2382572	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2387961	NULL	NULL	NULL	NULL
CHEMBL2387962	NULL	NULL	NULL	NULL
CHEMBL2387963	NULL	NULL	NULL	NULL
CHEMBL2388893	NULL	NULL	NULL	NULL
CHEMBL2389350	NULL	NULL	NULL	NULL
CHEMBL2390460	NULL	NULL	NULL	NULL
CHEMBL2389567	NULL	NULL	NULL	NULL
CHEMBL2389758	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2389760	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2390341	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2388202	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2390363	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2390223	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2393913	NULL	NULL	NULL	NULL
CHEMBL2394789	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2395206	NULL	NULL	NULL	NULL
CHEMBL2395207	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2395380	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2395381	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2394846	NULL	NULL	NULL	NULL
CHEMBL2394847	NULL	NULL	NULL	NULL
CHEMBL2394849	NULL	NULL	NULL	NULL
CHEMBL2395260	NULL	NULL	NULL	NULL
CHEMBL2395262	NULL	NULL	NULL	NULL
CHEMBL2396015	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2396019	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2395084	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2396050	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2396234	NULL	NULL	NULL	NULL
CHEMBL2396467	NULL	NULL	NULL	NULL
CHEMBL2396468	NULL	NULL	NULL	NULL
CHEMBL2396469	NULL	NULL	NULL	NULL
CHEMBL2398835	NULL	NULL	NULL	NULL
CHEMBL2398849	NULL	NULL	NULL	NULL
CHEMBL2400450	NULL	NULL	NULL	NULL
CHEMBL2400451	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2400452	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2400453	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2400454	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2400455	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2400456	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2401504	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2399255	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2399368	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2400598	NULL	NULL	NULL	NULL
CHEMBL2400599	NULL	NULL	NULL	NULL
CHEMBL2404993	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2404994	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2404995	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2405803	NULL	NULL	NULL	NULL
CHEMBL2406416	NULL	NULL	NULL	NULL
CHEMBL2406780	NULL	NULL	NULL	NULL
CHEMBL2404558	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2406353	NULL	NULL	NULL	NULL
CHEMBL2406355	NULL	NULL	NULL	NULL
CHEMBL2406366	NULL	NULL	NULL	NULL
CHEMBL2404197	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2404382	NULL	NULL	NULL	NULL
CHEMBL2405371	NULL	NULL	NULL	NULL
CHEMBL2411100	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2411830	NULL	NULL	NULL	NULL
CHEMBL2411831	NULL	NULL	NULL	NULL
CHEMBL2412857	NULL	NULL	NULL	NULL
CHEMBL2410074	NULL	NULL	NULL	NULL
CHEMBL2410296	NULL	NULL	NULL	NULL
CHEMBL2411862	NULL	NULL	NULL	NULL
CHEMBL2411001	NULL	NULL	NULL	NULL
CHEMBL2412548	NULL	NULL	NULL	NULL
CHEMBL2412549	NULL	NULL	NULL	NULL
CHEMBL2412551	NULL	NULL	NULL	NULL
CHEMBL2415312	NULL	NULL	NULL	NULL
CHEMBL2415177	NULL	NULL	NULL	NULL
CHEMBL2415207	NULL	NULL	NULL	NULL
CHEMBL2415345	NULL	NULL	NULL	NULL
CHEMBL2417289	NULL	NULL	NULL	NULL
CHEMBL2417298	NULL	NULL	NULL	NULL
CHEMBL2422520	NULL	NULL	NULL	NULL
CHEMBL2422533	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2422534	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2422129	NULL	NULL	NULL	NULL
CHEMBL2422131	NULL	NULL	NULL	NULL
CHEMBL2422133	NULL	NULL	NULL	NULL
CHEMBL2423441	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2424139	NULL	NULL	NULL	NULL
CHEMBL2424274	NULL	NULL	NULL	NULL
CHEMBL2424275	NULL	NULL	NULL	NULL
CHEMBL2424465	NULL	NULL	NULL	NULL
CHEMBL2427694	NULL	NULL	NULL	NULL
CHEMBL2429187	NULL	NULL	NULL	NULL
CHEMBL2426900	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2427860	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2427861	NULL	NULL	NULL	NULL
CHEMBL2429415	NULL	NULL	NULL	NULL
CHEMBL2429417	NULL	NULL	NULL	NULL
CHEMBL2429418	NULL	NULL	NULL	NULL
CHEMBL2432226	NULL	NULL	NULL	NULL
CHEMBL2433139	NULL	NULL	NULL	NULL
CHEMBL2432176	NULL	NULL	NULL	NULL
CHEMBL2439735	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2439737	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL2437987	NULL	NULL	NULL	NULL
CHEMBL2439896	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2439936	NULL	NULL	NULL	NULL
CHEMBL2446215	NULL	NULL	NULL	NULL
CHEMBL2445975	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2445976	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2445977	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL2445978	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
