assay_chembl_id	cell_name	cell_description	cell_source_organism	cell_source_tissue
CHEMBL908898	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL907829	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL908975	NULL	NULL	NULL	NULL
CHEMBL908401	NULL	NULL	NULL	NULL
CHEMBL855008	NULL	NULL	NULL	NULL
CHEMBL907768	NULL	NULL	NULL	NULL
CHEMBL907769	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL855608	NULL	NULL	NULL	NULL
CHEMBL856405	NULL	NULL	NULL	NULL
CHEMBL854889	NULL	NULL	NULL	NULL
CHEMBL854891	NULL	NULL	NULL	NULL
CHEMBL854887	NULL	NULL	NULL	NULL
CHEMBL854888	NULL	NULL	NULL	NULL
CHEMBL854894	NULL	NULL	NULL	NULL
CHEMBL854895	NULL	NULL	NULL	NULL
CHEMBL854890	NULL	NULL	NULL	NULL
CHEMBL854892	NULL	NULL	NULL	NULL
CHEMBL854893	NULL	NULL	NULL	NULL
CHEMBL907676	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL907684	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL863591	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL855968	NULL	NULL	NULL	NULL
CHEMBL912233	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL912234	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL907268	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL907269	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL910704	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL912510	NULL	NULL	NULL	NULL
CHEMBL853924	NULL	NULL	NULL	NULL
CHEMBL856827	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL855770	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL919944	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL913858	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL914485	NULL	NULL	NULL	NULL
CHEMBL914755	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL914756	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL914757	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL914758	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL916132	NULL	NULL	NULL	NULL
CHEMBL916135	NULL	NULL	NULL	NULL
CHEMBL903920	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL905110	NULL	NULL	NULL	NULL
CHEMBL906593	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL906594	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL886338	NULL	NULL	NULL	NULL
CHEMBL887480	NULL	NULL	NULL	NULL
CHEMBL889047	NULL	NULL	NULL	NULL
CHEMBL889158	NULL	NULL	NULL	NULL
CHEMBL889269	NULL	NULL	NULL	NULL
CHEMBL889315	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL889314	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL889313	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL889312	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL889309	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL889308	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL889316	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL888452	NULL	NULL	NULL	NULL
CHEMBL888509	NULL	NULL	NULL	NULL
CHEMBL890380	NULL	NULL	NULL	NULL
CHEMBL889970	NULL	NULL	NULL	NULL
CHEMBL890046	NULL	NULL	NULL	NULL
CHEMBL893743	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL895731	NULL	NULL	NULL	NULL
CHEMBL895464	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL895478	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL895925	NULL	NULL	NULL	NULL
CHEMBL896000	NULL	NULL	NULL	NULL
CHEMBL896496	NULL	NULL	NULL	NULL
CHEMBL897699	NULL	NULL	NULL	NULL
CHEMBL899444	NULL	NULL	NULL	NULL
CHEMBL899477	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL899478	NULL	NULL	NULL	NULL
CHEMBL899624	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL899629	NULL	NULL	NULL	NULL
CHEMBL898851	NULL	NULL	NULL	NULL
CHEMBL902576	NULL	NULL	NULL	NULL
CHEMBL902587	NULL	NULL	NULL	NULL
CHEMBL902717	NULL	NULL	NULL	NULL
CHEMBL903096	CHO-K1	CHO-K1 (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL903410	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL903442	NULL	NULL	NULL	NULL
CHEMBL903467	NULL	NULL	NULL	NULL
CHEMBL903477	NULL	NULL	NULL	NULL
CHEMBL886510	NULL	NULL	NULL	NULL
CHEMBL886667	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL886671	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL886903	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL886905	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL887107	NULL	NULL	NULL	NULL
CHEMBL887108	NULL	NULL	NULL	NULL
CHEMBL887127	NULL	NULL	NULL	NULL
CHEMBL903549	NULL	NULL	NULL	NULL
CHEMBL886473	NULL	NULL	NULL	NULL
CHEMBL886475	NULL	NULL	NULL	NULL
CHEMBL923046	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL923047	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL923065	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL940929	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL940932	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL940933	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL940937	NULL	NULL	NULL	NULL
CHEMBL940938	NULL	NULL	NULL	NULL
CHEMBL940958	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL941012	NULL	NULL	NULL	NULL
CHEMBL941016	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL941018	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL924360	NULL	NULL	NULL	NULL
CHEMBL943026	NULL	NULL	NULL	NULL
CHEMBL943039	NULL	NULL	NULL	NULL
CHEMBL943040	NULL	NULL	NULL	NULL
CHEMBL925077	NULL	NULL	NULL	NULL
CHEMBL943782	NULL	NULL	NULL	NULL
CHEMBL943783	NULL	NULL	NULL	NULL
CHEMBL944709	NULL	NULL	NULL	NULL
CHEMBL944710	NULL	NULL	NULL	NULL
CHEMBL944711	NULL	NULL	NULL	NULL
CHEMBL944712	NULL	NULL	NULL	NULL
CHEMBL944718	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL926143	NULL	NULL	NULL	NULL
CHEMBL927770	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL927771	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL944827	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL944859	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL927230	NULL	NULL	NULL	NULL
CHEMBL927257	NULL	NULL	NULL	NULL
CHEMBL928561	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL928570	NULL	NULL	NULL	NULL
CHEMBL928680	NULL	NULL	NULL	NULL
CHEMBL928906	NULL	NULL	NULL	NULL
CHEMBL929965	NULL	NULL	NULL	NULL
CHEMBL928992	NULL	NULL	NULL	NULL
CHEMBL928993	NULL	NULL	NULL	NULL
CHEMBL930660	NULL	NULL	NULL	NULL
CHEMBL948118	NULL	NULL	NULL	NULL
CHEMBL948900	NULL	NULL	NULL	NULL
CHEMBL933193	NULL	NULL	NULL	NULL
CHEMBL948183	NULL	NULL	NULL	NULL
CHEMBL930532	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL949251	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL948146	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL947993	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL934350	NULL	NULL	NULL	NULL
CHEMBL934351	NULL	NULL	NULL	NULL
