year	document_chembl_id
2009.0	CHEMBL1154167
2009.0	CHEMBL1154171
2009.0	CHEMBL1154177
2009.0	CHEMBL1154610
2009.0	CHEMBL1154611
2009.0	CHEMBL1154613
2009.0	CHEMBL1154688
2009.0	CHEMBL1154698
2009.0	CHEMBL1154736
2009.0	CHEMBL1155233
2009.0	CHEMBL1155247
2009.0	CHEMBL1155318
2009.0	CHEMBL1155321
2009.0	CHEMBL1155340
2009.0	CHEMBL1155351
2009.0	CHEMBL1155359
2009.0	CHEMBL1155962
2009.0	CHEMBL1155963
2009.0	CHEMBL1155989
2009.0	CHEMBL1155998
2009.0	CHEMBL1156015
2009.0	CHEMBL1156026
2009.0	CHEMBL1156048
2009.0	CHEMBL1156057
2009.0	CHEMBL1156066
2009.0	CHEMBL1156077
2009.0	CHEMBL1156101
2010.0	CHEMBL1156785
2009.0	CHEMBL1152519
2010.0	CHEMBL1153113
2010.0	CHEMBL1153119
2010.0	CHEMBL1153120
2010.0	CHEMBL1153137
2010.0	CHEMBL1153244
2010.0	CHEMBL1156870
2010.0	CHEMBL1156884
2010.0	CHEMBL1156904
2010.0	CHEMBL1156924
2010.0	CHEMBL1157614
2010.0	CHEMBL1157620
2010.0	CHEMBL1157659
2010.0	CHEMBL1158507
2010.0	CHEMBL1158511
2010.0	CHEMBL1158513
2010.0	CHEMBL1158517
2010.0	CHEMBL1159071
2010.0	CHEMBL1159080
2010.0	CHEMBL1159083
2010.0	CHEMBL1159116
2009.0	CHEMBL1154203
2009.0	CHEMBL1154224
2009.0	CHEMBL1154229
2009.0	CHEMBL1154258
2009.0	CHEMBL1154321
2009.0	CHEMBL1154336
2009.0	CHEMBL1154342
2009.0	CHEMBL1154346
2010.0	CHEMBL1153718
2010.0	CHEMBL1154904
2010.0	CHEMBL1154932
2010.0	CHEMBL1154934
2010.0	CHEMBL1154954
2010.0	CHEMBL1154970
2010.0	CHEMBL1155369
2010.0	CHEMBL1155385
2010.0	CHEMBL1155389
2010.0	CHEMBL1156265
2010.0	CHEMBL1156278
2010.0	CHEMBL1156281
2010.0	CHEMBL1156291
2010.0	CHEMBL1156307
2010.0	CHEMBL1156328
2010.0	CHEMBL1156338
2010.0	CHEMBL1156340
2010.0	CHEMBL1156954
2010.0	CHEMBL1156955
2010.0	CHEMBL1156967
2010.0	CHEMBL1156971
2010.0	CHEMBL1156169
2010.0	CHEMBL1156178
2010.0	CHEMBL1156220
2010.0	CHEMBL1157794
2010.0	CHEMBL1157799
2010.0	CHEMBL1157802
2010.0	CHEMBL1157825
2010.0	CHEMBL1157885
2010.0	CHEMBL1158539
2010.0	CHEMBL1158546
2010.0	CHEMBL1158548
2010.0	CHEMBL1158560
2010.0	CHEMBL1158564
2010.0	CHEMBL1158565
2010.0	CHEMBL1157119
2010.0	CHEMBL1157744
2010.0	CHEMBL1155446
2010.0	CHEMBL1155448
2010.0	CHEMBL1155453
2010.0	CHEMBL1155506
2010.0	CHEMBL1155513
2010.0	CHEMBL1155515
2010.0	CHEMBL1155519
2010.0	CHEMBL1155527
2010.0	CHEMBL1155534
2010.0	CHEMBL1155538
2010.0	CHEMBL1155540
2010.0	CHEMBL1158599
2010.0	CHEMBL1158602
2010.0	CHEMBL1158622
2010.0	CHEMBL1158627
2010.0	CHEMBL1177762
2010.0	CHEMBL1177783
2010.0	CHEMBL1177792
2010.0	CHEMBL1177831
2010.0	CHEMBL1177669
2010.0	CHEMBL1177700
2010.0	CHEMBL1177706
	CHEMBL1201862
2010.0	CHEMBL1208692
2010.0	CHEMBL1208739
2010.0	CHEMBL1208761
2010.0	CHEMBL1208762
2010.0	CHEMBL1208767
2010.0	CHEMBL1208792
2010.0	CHEMBL1212834
2010.0	CHEMBL1212860
2010.0	CHEMBL1212880
2010.0	CHEMBL1212897
2010.0	CHEMBL1212920
2010.0	CHEMBL1212923
2010.0	CHEMBL1221236
2010.0	CHEMBL1221253
2010.0	CHEMBL1221281
2010.0	CHEMBL1221291
2010.0	CHEMBL1221311
2010.0	CHEMBL1221322
2010.0	CHEMBL1221332
2010.0	CHEMBL1221355
2010.0	CHEMBL1221361
2010.0	CHEMBL1221377
2010.0	CHEMBL1240442
2010.0	CHEMBL1240530
2010.0	CHEMBL1240532
2010.0	CHEMBL1250528
2010.0	CHEMBL1255514
2010.0	CHEMBL1255554
2010.0	CHEMBL1255556
2010.0	CHEMBL1255216
2010.0	CHEMBL1268866
2010.0	CHEMBL1268880
2010.0	CHEMBL1268809
2010.0	CHEMBL1268849
2010.0	CHEMBL1268885
2010.0	CHEMBL1268886
2010.0	CHEMBL1268902
2010.0	CHEMBL1268928
2010.0	CHEMBL1268946
2010.0	CHEMBL1268956
2010.0	CHEMBL1268978
2010.0	CHEMBL1268988
2010.0	CHEMBL1269008
2010.0	CHEMBL1275274
2010.0	CHEMBL1275350
2010.0	CHEMBL1275351
2010.0	CHEMBL1287671
2010.0	CHEMBL1287678
2010.0	CHEMBL1287684
2010.0	CHEMBL1287696
2010.0	CHEMBL1287714
2010.0	CHEMBL1287722
2010.0	CHEMBL1287724
2010.0	CHEMBL1287744
2010.0	CHEMBL1287746
2010.0	CHEMBL1287756
2010.0	CHEMBL1287766
2010.0	CHEMBL1287767
2010.0	CHEMBL1629713
2010.0	CHEMBL1629455
2010.0	CHEMBL1629528
2011.0	CHEMBL1641460
2011.0	CHEMBL1641467
2011.0	CHEMBL1641472
2011.0	CHEMBL1641497
2011.0	CHEMBL1641519
2011.0	CHEMBL1641536
2011.0	CHEMBL1641559
2011.0	CHEMBL1641363
2011.0	CHEMBL1641370
2011.0	CHEMBL1641377
2011.0	CHEMBL1641404
2011.0	CHEMBL1641412
2011.0	CHEMBL1641414
2011.0	CHEMBL1641425
2011.0	CHEMBL1649066
2011.0	CHEMBL1649073
2011.0	CHEMBL1649093
2011.0	CHEMBL1649104
2011.0	CHEMBL1649108
2010.0	CHEMBL1649335
2011.0	CHEMBL1649374
2011.0	CHEMBL1649412
2011.0	CHEMBL1649416
2011.0	CHEMBL1667769
2011.0	CHEMBL1667772
2011.0	CHEMBL1667811
2011.0	CHEMBL1667819
2011.0	CHEMBL1667835
2011.0	CHEMBL1667846
2011.0	CHEMBL1671772
2011.0	CHEMBL1671827
2011.0	CHEMBL1671835
2011.0	CHEMBL1671841
2011.0	CHEMBL1681652
2011.0	CHEMBL1681665
2011.0	CHEMBL1681668
2011.0	CHEMBL1681676
2011.0	CHEMBL1681689
2011.0	CHEMBL1681706
