assay_chembl_id	document_chembl_id
CHEMBL3436148	CHEMBL3436046
CHEMBL4359465	CHEMBL4354879
CHEMBL5381144	CHEMBL5380777
CHEMBL2149604	CHEMBL2146410
CHEMBL3387127	CHEMBL3351799
CHEMBL1831807	CHEMBL1828622
CHEMBL1811063	CHEMBL1806477
CHEMBL1061548	CHEMBL1152368
CHEMBL3868466	CHEMBL3867482
CHEMBL4622189	CHEMBL4619803
CHEMBL5260122	CHEMBL5257122
CHEMBL2091208	CHEMBL2086372
CHEMBL4812667	CHEMBL4811258
CHEMBL962058	CHEMBL1157462
CHEMBL5036234	CHEMBL5034046
CHEMBL4766000	CHEMBL4765231
CHEMBL4734892	CHEMBL4732108
CHEMBL4612722	CHEMBL4610117
CHEMBL5628735	CHEMBL5625242
CHEMBL5038087	CHEMBL5036355
CHEMBL2447581	CHEMBL2440066
CHEMBL3773618	CHEMBL3769382
CHEMBL653730	CHEMBL1124111
CHEMBL5379386	CHEMBL5375996
CHEMBL2160411	CHEMBL2157870
CHEMBL2066265	CHEMBL2062434
CHEMBL3773492	CHEMBL3769388
CHEMBL927771	CHEMBL1140803
CHEMBL3430535	CHEMBL3430320
CHEMBL654574	CHEMBL1129246
CHEMBL1068016	CHEMBL1156924
CHEMBL3776609	CHEMBL3774368
CHEMBL2154364	CHEMBL2150960
CHEMBL1026571	CHEMBL1152710
CHEMBL2167608	CHEMBL2163325
CHEMBL3803791	CHEMBL3797052
CHEMBL5611060	CHEMBL5608238
CHEMBL1938199	CHEMBL1932929
CHEMBL4322944	CHEMBL4321813
CHEMBL3430546	CHEMBL3430320
CHEMBL3371004	CHEMBL3351722
CHEMBL3582606	CHEMBL3580611
CHEMBL653732	CHEMBL1132339
CHEMBL3428455	CHEMBL3425423
CHEMBL1647981	CHEMBL1641497
CHEMBL2394789	CHEMBL2390935
CHEMBL1918791	CHEMBL1914304
CHEMBL3766024	CHEMBL3763120
CHEMBL5540303	CHEMBL5537174
CHEMBL3225974	CHEMBL3217574
CHEMBL1059036	CHEMBL1153522
CHEMBL1767981	CHEMBL1764953
CHEMBL3813500	CHEMBL3808345
CHEMBL3267744	CHEMBL3259781
CHEMBL949251	CHEMBL1142327
CHEMBL3430648	CHEMBL3430321
CHEMBL3854694	CHEMBL3853316
CHEMBL3880658	CHEMBL3880390
CHEMBL3100172	CHEMBL3098117
CHEMBL5585758	CHEMBL5584250
CHEMBL660040	CHEMBL1124014
CHEMBL3638144	CHEMBL3638030
CHEMBL1108768	CHEMBL1156954
CHEMBL4378223	CHEMBL4376816
CHEMBL4054757	CHEMBL4052642
CHEMBL5215423	CHEMBL5214895
CHEMBL3761658	CHEMBL3758104
CHEMBL2329216	CHEMBL2321683
CHEMBL4886920	CHEMBL4507332
CHEMBL4019656	CHEMBL4017515
CHEMBL4260964	CHEMBL4257582
CHEMBL5108155	CHEMBL5107939
